""	"AQ190"	"AQ421"	"AQ733"	"AQ501"	"AQ707"	"AQ397"	"AQ605"	"AQ164"	"AQ112"	"AQ838"	"AQ812"	"AQ34"	"AQ681"	"AQ449"
"New.0.ReferenceOTU357"	31	0	1	0	0	0	2	96	0	6	8	79	8	0
"New.0.CleanUp.ReferenceOTU1621"	0	0	0	0	17	0	3	0	0	0	0	0	5	0
"New.0.CleanUp.ReferenceOTU5129"	0	0	3	0	0	0	1	0	0	0	0	0	0	0
"New.0.CleanUp.ReferenceOTU9034"	1	0	0	0	0	0	0	0	0	0	0	0	4	0
"New.0.CleanUp.ReferenceOTU10292"	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"New.0.CleanUp.ReferenceOTU11696"	0	0	0	0	0	0	0	0	0	0	0	0	8	0
"New.0.CleanUp.ReferenceOTU12466"	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"New.0.CleanUp.ReferenceOTU14180"	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"New.0.CleanUp.ReferenceOTU15172"	0	0	0	0	0	0	4	0	0	0	0	0	0	0
"New.0.CleanUp.ReferenceOTU15269"	0	0	1	0	25	0	0	0	0	4	0	0	2	0
"New.0.CleanUp.ReferenceOTU15705"	0	0	0	0	0	0	0	0	0	0	0	0	2	0
"New.0.CleanUp.ReferenceOTU16366"	16	0	0	0	0	0	0	0	0	81	65	0	2	0
"New.0.CleanUp.ReferenceOTU17616"	0	0	0	0	0	0	0	0	0	0	0	0	2	0
"New.0.CleanUp.ReferenceOTU19193"	24	0	6	0	2	1	90	0	0	8	3	0	0	0
"New.0.CleanUp.ReferenceOTU20069"	1	0	0	0	0	0	1	0	0	0	0	0	0	0
"New.0.CleanUp.ReferenceOTU20164"	1	0	11	0	0	0	0	0	0	0	0	0	1	0
"New.0.CleanUp.ReferenceOTU22451"	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"New.0.CleanUp.ReferenceOTU22635"	1	0	6	0	25	0	1	0	0	0	0	0	5	0
"New.0.CleanUp.ReferenceOTU22853"	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"New.0.CleanUp.ReferenceOTU22975"	0	0	1	0	0	0	0	0	0	0	1	0	0	0
"New.0.CleanUp.ReferenceOTU24853"	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"New.0.CleanUp.ReferenceOTU26719"	0	0	1	0	0	0	0	0	0	0	5	0	0	0
"New.0.CleanUp.ReferenceOTU27380"	0	0	0	0	0	0	0	0	0	0	1	0	2	0
"New.0.CleanUp.ReferenceOTU32266"	1	0	1	0	0	0	0	3	0	0	0	0	0	0
"New.0.CleanUp.ReferenceOTU32288"	0	0	2	0	0	0	2	0	0	0	0	0	0	0
"New.0.CleanUp.ReferenceOTU32484"	0	0	2	0	0	0	0	0	0	0	0	0	0	0
"New.0.CleanUp.ReferenceOTU34183"	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"New.0.CleanUp.ReferenceOTU38474"	0	0	0	0	0	1	0	0	0	0	1	0	1	0
"New.0.CleanUp.ReferenceOTU41194"	0	0	0	0	0	0	0	0	0	0	0	0	2	0
"New.0.CleanUp.ReferenceOTU42022"	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"New.0.CleanUp.ReferenceOTU42791"	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"New.0.CleanUp.ReferenceOTU43340"	2	0	0	0	30	0	0	0	0	7	0	0	3	0
"New.0.CleanUp.ReferenceOTU50341"	0	0	5	0	25	0	3	0	0	0	0	0	5	0
"New.0.CleanUp.ReferenceOTU53881"	0	0	2	0	0	0	0	0	0	0	0	0	0	0
"New.0.CleanUp.ReferenceOTU54406"	0	0	0	0	0	0	0	0	1	0	0	0	0	0
